Payload,Transmission Technology,Energy,FE
1024,BLE 5.0,20.45908292644611,EEN
1024,802.15.4,12.4758266545707,EEN
1024,802.11 PSM,94.41057834749878,EEN
1024,802.11 ah,24.47306588434085,EEN
1024,LoRa,27.798184511709277,EEN
2048,BLE 5.0,20.505556421602495,EEN
2048,802.15.4,12.522300149727087,EEN
2048,802.11 PSM,94.45705184265515,EEN
2048,802.11 ah,24.51953937949724,EEN
2048,LoRa,27.84465800686566,EEN
4096,BLE 5.0,20.60308099444134,EEN
4096,802.15.4,12.61982472256593,EEN
4096,802.11 PSM,94.55457641549398,EEN
4096,802.11 ah,24.617063952336082,EEN
4096,LoRa,27.942182579704504,EEN
8192,BLE 5.0,20.807285305171153,EEN
8192,802.15.4,12.824029033295744,EEN
8192,802.11 PSM,94.75878072622382,EEN
8192,802.11 ah,24.821268263065896,EEN
8192,LoRa,28.146386890434318,EEN
16384,BLE 5.0,21.234004256735037,EEN
16384,802.15.4,13.250747984859629,EEN
16384,802.11 PSM,95.1854996777877,EEN
16384,802.11 ah,25.24798721462978,EEN
16384,LoRa,28.573105841998203,EEN
1024,BLE 5.0,21.19438651578947,cloud
1024,802.15.4,17.689354331493004,cloud
1024,802.11 PSM,96.73008025263158,cloud
1024,802.11 ah,126.41943600000002,cloud
1024,LoRa,1537.7512453389472,cloud
2048,BLE 5.0,21.985384831578944,cloud
2048,802.15.4,22.97368593233511,cloud
2048,802.11 PSM,99.10861288421052,cloud
2048,802.11 ah,229.1754288421053,cloud
2048,LoRa,3058.2996070399995,cloud
4096,BLE 5.0,23.558591147368418,cloud
4096,802.15.4,33.58759573275616,cloud
4096,802.11 PSM,103.86567814736841,cloud
4096,802.11 ah,434.6874145263158,cloud
4096,LoRa,6115.543873212631,cloud
8192,BLE 5.0,26.713794094736848,cloud
8192,802.15.4,54.77016873486142,cloud
8192,802.11 PSM,113.44140909473685,cloud
8192,802.11 ah,847.2068810526317,cloud
8192,LoRa,12231.087746425263,cloud
16384,BLE 5.0,33.02419998947368,cloud
16384,802.15.4,97.13531473907196,cloud
16384,802.11 PSM,132.59287098947368,cloud
16384,802.11 ah,1672.2458141052634,cloud
16384,LoRa,24443.91726834526,cloud
