feature,BLE 5.0,802.15.4,802.11 PSM,802.11 ah,LoRa
"FE",20.45908292644611,12.4758266545707,94.41057834749878,24.47306588434085,27.798184511709277
"raw",21.19438651578947,17.689354331493004,96.73008025263158,126.41943600000002,1537.7512453389472
