Payload,BLE 5.0,802.15.4,802.11 PSM,802.11 ah,LoRa
1024,21.19438651578947,17.689354331493004,96.73008025263158,126.41943600000002,1537.7512453389472
2048,21.985384831578944,22.97368593233511,99.10861288421052,229.1754288421053,3058.2996070399995
4096,23.558591147368418,33.58759573275616,103.86567814736841,434.6874145263158,6115.543873212631
8192,26.713794094736848,54.77016873486142,113.44140909473685,847.2068810526317,12231.087746425263
16384,33.02419998947368,97.13531473907196,132.59287098947368,1672.2458141052634,24443.91726834526

