Payload,BLE 5.0,802.15.4,802.11 PSM,802.11 ah,LoRa
1024,20.45908292644611,12.4758266545707,94.41057834749878,24.47306588434085,27.798184511709277
2048,20.505556421602495,12.522300149727087,94.45705184265515,24.51953937949724,27.84465800686566
4096,20.60308099444134,12.61982472256593,94.55457641549398,24.617063952336082,27.942182579704504
8192,20.807285305171153,12.824029033295744,94.75878072622382,24.821268263065896,28.146386890434318
16384,21.234004256735037,13.250747984859629,95.1854996777877,25.24798721462978,28.573105841998203
